D3,AQ3045-01ETG,TopLayer,SOD882,340,630,180,TVS DIODE 5.3VWM 12VC SOD882
D2,Orange,TopLayer,LED0402OR,1730,800,270,LED ORANGE 0402 SMD
D1,GREEN,TopLayer,LED0402G,1730,200,90,LED YLW-GRN 0402 SMD
C16,"1uF, 35V",TopLayer,CAPC1005X65N,1650,200,270,CAP CER 1UF 35V X5R 0402
C15,"100nf, 50V",TopLayer,CAPC1005X65N,2555,855,0,CAP CER 0.1UF 50V X7R 0402
C14,"10µF, 10V",TopLayer,CAPC1005X65N,2470,855,0,CAP CER 10UF 10V X5R 0402
C13,"10µF, 10V",TopLayer,CAPC1005X65N,530,220,270,CAP CER 10UF 10V X5R 0402
C12,"10µF, 10V",TopLayer,CAPC1005X65N,580,220,270,CAP CER 10UF 10V X5R 0402
C11,"4µ7, 16V",TopLayer,CAPC1005X65N,580,360,90,CAP CER 4.7UF 16V X5R 0402
C10,"100nf, 50V",TopLayer,CAPC1005X65N,440,370,0,CAP CER 0.1UF 50V X7R 0402
C9,"100nf, 50V",TopLayer,CAPC1005X65N,530,850,180,CAP CER 0.1UF 50V X7R 0402
C8,"100nf, 50V",TopLayer,CAPC1005X65N,530,680,180,CAP CER 0.1UF 50V X7R 0402
C6,"100nf, 50V",TopLayer,CAPC1005X65N,910,800,0,CAP CER 0.1UF 50V X7R 0402
C5,"100nf, 50V",TopLayer,CAPC1005X65N,2640,855,0,CAP CER 0.1UF 50V X7R 0402
C4,"100nf, 50V",TopLayer,CAPC1005X65N,2640,145,180,CAP CER 0.1UF 50V X7R 0402
C3,"100nf, 50V",TopLayer,CAPC1005X65N,740,610,0,CAP CER 0.1UF 50V X7R 0402
C2,"4µ7, 16V",TopLayer,CAPC1005X65N,740,560,180,CAP CER 4.7UF 16V X5R 0402
C1,"100nf, 50V",TopLayer,CAPC1005X65N,440,630,0,CAP CER 0.1UF 50V X7R 0402
